model,category,region,context_length,masked_text,description,script_type,detected_script,top_1_prediction,top_1_score,top_3_predictions,expected_tokens,expected_in_top_1,expected_in_top_3,expected_in_top_5,best_match_position,predicted_age,age_confidence,predicted_region,region_confidence,predicted_formality,formality_confidence,prediction_language
Fine-tuned Model,regional_with_context,North,long,Delhi ki garmi mein <mask> lag raha hai. Red Fort ke paas sabse zyada bheed hai.,"Northern context with landmarks (Delhi, Red Fort)",romanized,mixed,kuch,0.15995772182941437,"kuch, kaam, sab","pasina, garam, hot",False,False,False,-1,under 30,0.7399872541427612,rural,0.5207175016403198,formal,0.5219197273254395,English
Fine-tuned Model,regional_with_context,North,short,Delhi mein <mask> khana best hai.,Northern context with short reference,romanized,mixed,bhi,0.09208644926548004,"bhi, yeh, sab","chaat, street, local",False,False,False,-1,under 30,0.6574826240539551,urban,0.5236936807632446,informal,0.6952146887779236,English
Fine-tuned Model,regional_with_context,South,long,Chennai ke beach par <mask> karte hue bahut maza aaya. Marina Beach is so beautiful in the evening.,"Southern context with landmarks (Chennai, Marina Beach)",mixed,english,relax,0.2167872041463852,"relax, cruise, dinner","walk, sunset, time",False,False,False,-1,under 30,0.751778781414032,rural,0.5412071347236633,informal,0.9849534630775452,English
Fine-tuned Model,regional_with_context,South,short,Bangalore mein <mask> company hai.,Southern context with short reference,romanized,mixed,ek,0.1052432730793953,"ek, bhi, koi","IT, tech, software",False,False,False,-1,under 30,0.6796205043792725,urban,0.5311543941497803,informal,0.5172804594039917,English
Fine-tuned Model,regional_with_context,West,long,Mumbai ke Marine Drive par <mask> dekhna sabse accha lagta hai. Vahan pe sabhi log shaam ko aate hain.,"Western context with landmarks (Mumbai, Marine Drive)",romanized,mixed,kaam,0.2547491490840912,"kaam, film, train","sunset, sea, view",False,False,False,-1,under 30,0.6613757610321045,rural,0.5680843591690063,informal,0.6074380874633789,English
Fine-tuned Model,regional_with_context,West,short,Pune mein <mask> weather hai.,Western context with short reference,romanized,mixed,nice,0.4151805639266968,"nice, good, bad","accha, pleasant, nice",True,True,True,0,under 30,0.703629195690155,urban,0.524649977684021,formal,0.5062890648841858,English
Fine-tuned Model,context_length_variation,Mixed,minimal,<mask> khaana.,Minimal context with just 1 other word,romanized,english,Salam,0.28620442748069763,"Salam, salam, Maal","khana, dinner, lunch",False,False,False,-1,under 30,0.7782409191131592,rural,0.5602469444274902,formal,0.718317985534668,English
Fine-tuned Model,context_length_variation,Mixed,minimal,Meeting <mask>.,Minimal context with just 1 other word,mixed,mixed,.,0.05912405624985695,"., :, ,","hai, khatam, cancel",False,False,False,-1,under 30,0.6964869499206543,urban,0.5361472964286804,informal,0.5118117332458496,English
Fine-tuned Model,context_length_variation,Mixed,short,Office mein <mask> meeting hai.,Short context with 3-4 words,romanized,mixed,urgent,0.08784768730401993,"urgent, kaam, bhi","ek, important, team",False,False,True,4,under 30,0.6239644885063171,urban,0.9951342344284058,formal,0.7988718748092651,English
Fine-tuned Model,context_length_variation,Mixed,short,Main <mask> kaam kar raha hoon.,Short context with 5-6 words,romanized,mixed,kaam,0.17279775440692902,"kaam, sab, bhi","important, office, ghar",False,False,False,-1,under 30,0.6613757610321045,rural,0.5680843591690063,informal,0.6074380874633789,English
